match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1417814,2024,2024-08-10,"Sophia Gardens, Cardiff",1,0.1,Welsh Fire,Birmingham Phoenix,SS Eskinazi,LWP Wells,AF Milne,4,0,,,,,,,,,
1417814,2024,2024-08-10,"Sophia Gardens, Cardiff",1,0.2,Welsh Fire,Birmingham Phoenix,SS Eskinazi,LWP Wells,AF Milne,0,0,,,,,,,,,
1417814,2024,2024-08-10,"Sophia Gardens, Cardiff",1,0.3,Welsh Fire,Birmingham Phoenix,SS Eskinazi,LWP Wells,AF Milne,0,1,1,,,,,,,,
1417814,2024,2024-08-10,"Sophia Gardens, Cardiff",1,0.4,Welsh Fire,Birmingham Phoenix,SS Eskinazi,LWP Wells,AF Milne,1,0,,,,,,,,,
1417814,2024,2024-08-10,"Sophia Gardens, Cardiff",1,0.5,Welsh Fire,Birmingham Phoenix,LWP Wells,SS Eskinazi,AF Milne,0,0,,,,,,,,,
1417814,2024,2024-08-10,"Sophia Gardens, Cardiff",1,0.6,Welsh Fire,Birmingham Phoenix,LWP Wells,SS Eskinazi,AF Milne,0,0,,,,,,,,,
1417814,2024,2024-08-10,"Sophia Gardens, Cardiff",1,1.1,Welsh Fire,Birmingham Phoenix,LWP Wells,SS Eskinazi,TG Southee,0,0,,,,,,,,,
1417814,2024,2024-08-10,"Sophia Gardens, Cardiff",1,1.2,Welsh Fire,Birmingham Phoenix,LWP Wells,SS Eskinazi,TG Southee,6,0,,,,,,,,,
1417814,2024,2024-08-10,"Sophia Gardens, Cardiff",1,1.3,Welsh Fire,Birmingham Phoenix,LWP Wells,SS Eskinazi,TG Southee,1,0,,,,,,,,,
1417814,2024,2024-08-10,"Sophia Gardens, Cardiff",1,1.4,Welsh Fire,Birmingham Phoenix,SS Eskinazi,LWP Wells,TG Southee,1,0,,,,,,,,,
1417814,2024,2024-08-10,"Sophia Gardens, Cardiff",1,1.5,Welsh Fire,Birmingham Phoenix,LWP Wells,SS Eskinazi,TG Southee,0,0,,,,,,,,,
1417814,2024,2024-08-10,"Sophia Gardens, Cardiff",1,2.1,Welsh Fire,Birmingham Phoenix,SS Eskinazi,LWP Wells,CP Wood,1,0,,,,,,,,,
1417814,2024,2024-08-10,"Sophia Gardens, Cardiff",1,2.2,Welsh Fire,Birmingham Phoenix,LWP Wells,SS Eskinazi,CP Wood,2,0,,,,,,,,,
1417814,2024,2024-08-10,"Sophia Gardens, Cardiff",1,2.3,Welsh Fire,Birmingham Phoenix,LWP Wells,SS Eskinazi,CP Wood,4,0,,,,,,,,,
1417814,2024,2024-08-10,"Sophia Gardens, Cardiff",1,2.4,Welsh Fire,Birmingham Phoenix,LWP Wells,SS Eskinazi,CP Wood,1,0,,,,,,,,,
