match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,0.1,Trent Rockets,Manchester Originals,A Lyth,T Banton,Fazalhaq Farooqi,0,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,0.2,Trent Rockets,Manchester Originals,A Lyth,T Banton,Fazalhaq Farooqi,1,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,0.3,Trent Rockets,Manchester Originals,T Banton,A Lyth,Fazalhaq Farooqi,0,1,1,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,0.4,Trent Rockets,Manchester Originals,T Banton,A Lyth,Fazalhaq Farooqi,4,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,0.5,Trent Rockets,Manchester Originals,T Banton,A Lyth,Fazalhaq Farooqi,1,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,0.6,Trent Rockets,Manchester Originals,A Lyth,T Banton,Fazalhaq Farooqi,1,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,1.1,Trent Rockets,Manchester Originals,T Banton,A Lyth,PI Walter,4,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,1.2,Trent Rockets,Manchester Originals,T Banton,A Lyth,PI Walter,1,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,1.3,Trent Rockets,Manchester Originals,A Lyth,T Banton,PI Walter,0,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,1.4,Trent Rockets,Manchester Originals,A Lyth,T Banton,PI Walter,0,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,1.5,Trent Rockets,Manchester Originals,A Lyth,T Banton,PI Walter,0,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,2.1,Trent Rockets,Manchester Originals,T Banton,A Lyth,Fazalhaq Farooqi,0,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,2.2,Trent Rockets,Manchester Originals,T Banton,A Lyth,Fazalhaq Farooqi,4,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,2.3,Trent Rockets,Manchester Originals,T Banton,A Lyth,Fazalhaq Farooqi,0,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,2.4,Trent Rockets,Manchester Originals,T Banton,A Lyth,Fazalhaq Farooqi,0,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,2.5,Trent Rockets,Manchester Originals,T Banton,A Lyth,Fazalhaq Farooqi,1,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,3.1,Trent Rockets,Manchester Originals,A Lyth,T Banton,SW Currie,1,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,3.2,Trent Rockets,Manchester Originals,T Banton,A Lyth,SW Currie,1,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,3.3,Trent Rockets,Manchester Originals,A Lyth,T Banton,SW Currie,1,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,3.4,Trent Rockets,Manchester Originals,T Banton,A Lyth,SW Currie,6,0,,,,,,,,,
1417796,2024,2024-07-29,"Old Trafford, Manchester",1,3.5,Trent Rockets,Manchester Originals,T Banton,A Lyth,SW Currie,1,0,,,,,,,,,
