match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1417794,2024,2024-07-27,"Lord's, London",1,0.1,London Spirit,Birmingham Phoenix,DJ Bell-Drummond,AM Rossington,AF Milne,0,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,0.2,London Spirit,Birmingham Phoenix,DJ Bell-Drummond,AM Rossington,AF Milne,2,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,0.3,London Spirit,Birmingham Phoenix,DJ Bell-Drummond,AM Rossington,AF Milne,0,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,0.4,London Spirit,Birmingham Phoenix,DJ Bell-Drummond,AM Rossington,AF Milne,0,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,0.5,London Spirit,Birmingham Phoenix,DJ Bell-Drummond,AM Rossington,AF Milne,4,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,1.1,London Spirit,Birmingham Phoenix,DJ Bell-Drummond,AM Rossington,TG Southee,0,0,,,,,,lbw,DJ Bell-Drummond,,
1417794,2024,2024-07-27,"Lord's, London",1,1.2,London Spirit,Birmingham Phoenix,MS Pepper,AM Rossington,TG Southee,2,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,1.3,London Spirit,Birmingham Phoenix,MS Pepper,AM Rossington,TG Southee,1,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,1.4,London Spirit,Birmingham Phoenix,AM Rossington,MS Pepper,TG Southee,0,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,1.5,London Spirit,Birmingham Phoenix,AM Rossington,MS Pepper,TG Southee,0,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,2.1,London Spirit,Birmingham Phoenix,MS Pepper,AM Rossington,AF Milne,0,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,2.2,London Spirit,Birmingham Phoenix,MS Pepper,AM Rossington,AF Milne,0,2,2,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,2.3,London Spirit,Birmingham Phoenix,AM Rossington,MS Pepper,AF Milne,1,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,2.4,London Spirit,Birmingham Phoenix,MS Pepper,AM Rossington,AF Milne,1,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,2.5,London Spirit,Birmingham Phoenix,AM Rossington,MS Pepper,AF Milne,0,2,2,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,2.6,London Spirit,Birmingham Phoenix,MS Pepper,AM Rossington,AF Milne,4,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,2.7,London Spirit,Birmingham Phoenix,MS Pepper,AM Rossington,AF Milne,4,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,3.1,London Spirit,Birmingham Phoenix,MS Pepper,AM Rossington,TG Southee,0,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,3.2,London Spirit,Birmingham Phoenix,MS Pepper,AM Rossington,TG Southee,0,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,3.3,London Spirit,Birmingham Phoenix,MS Pepper,AM Rossington,TG Southee,4,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,3.4,London Spirit,Birmingham Phoenix,MS Pepper,AM Rossington,TG Southee,0,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,3.5,London Spirit,Birmingham Phoenix,MS Pepper,AM Rossington,TG Southee,0,1,,,,1,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,4.1,London Spirit,Birmingham Phoenix,MS Pepper,AM Rossington,SA Abbott,0,0,,,,,,caught,MS Pepper,,
1417794,2024,2024-07-27,"Lord's, London",1,4.2,London Spirit,Birmingham Phoenix,DW Lawrence,AM Rossington,SA Abbott,1,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,4.3,London Spirit,Birmingham Phoenix,AM Rossington,DW Lawrence,SA Abbott,0,0,,,,,,caught,AM Rossington,,
1417794,2024,2024-07-27,"Lord's, London",1,4.4,London Spirit,Birmingham Phoenix,SO Hetmyer,DW Lawrence,SA Abbott,0,1,,,,1,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,4.5,London Spirit,Birmingham Phoenix,DW Lawrence,SO Hetmyer,SA Abbott,0,0,,,,,,bowled,DW Lawrence,,
1417794,2024,2024-07-27,"Lord's, London",1,5.1,London Spirit,Birmingham Phoenix,RF Higgins,SO Hetmyer,SA Abbott,0,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,5.2,London Spirit,Birmingham Phoenix,RF Higgins,SO Hetmyer,SA Abbott,0,0,,,,,,,,,
1417794,2024,2024-07-27,"Lord's, London",1,5.3,London Spirit,Birmingham Phoenix,RF Higgins,SO Hetmyer,SA Abbott,0,0,,,,,,caught,RF Higgins,,
