version,1.7.0
info,balls_per_over,5
info,team,Northern Superchargers
info,team,Birmingham Phoenix
info,gender,male
info,season,2021
info,date,2021/08/17
info,event,The Hundred Men's Competition
info,match_number,31
info,venue,"Headingley, Leeds"
info,city,Leeds
info,toss_winner,Birmingham Phoenix
info,toss_decision,field
info,player_of_match,LS Livingstone
info,umpire,NA Mallender
info,umpire,RJ Warren
info,reserve_umpire,SJ O'Shaughnessy
info,tv_umpire,RT Robinson
info,match_referee,S Cummings
info,winner,Birmingham Phoenix
info,winner_wickets,8
info,player,Northern Superchargers,CA Lynn
info,player,Northern Superchargers,T Kohler-Cadmore
info,player,Northern Superchargers,DJ Willey
info,player,Northern Superchargers,JA Thompson
info,player,Northern Superchargers,DJ Vilas
info,player,Northern Superchargers,JA Simpson
info,player,Northern Superchargers,BA Raine
info,player,Northern Superchargers,MD Fisher
info,player,Northern Superchargers,AU Rashid
info,player,Northern Superchargers,Mujeeb Ur Rahman
info,player,Northern Superchargers,CF Parkinson
info,player,Birmingham Phoenix,FH Allen
info,player,Birmingham Phoenix,WCF Smeed
info,player,Birmingham Phoenix,LS Livingstone
info,player,Birmingham Phoenix,TB Abell
info,player,Birmingham Phoenix,Miles Hammond
info,player,Birmingham Phoenix,CG Benjamin
info,player,Birmingham Phoenix,BAC Howell
info,player,Birmingham Phoenix,DY Pennington
info,player,Birmingham Phoenix,AF Milne
info,player,Birmingham Phoenix,PR Brown
info,player,Birmingham Phoenix,Imran Tahir
info,registry,people,AF Milne,350bb1b1
info,registry,people,AU Rashid,249d60c9
info,registry,people,BA Raine,4c0f3806
info,registry,people,BAC Howell,0bec3a6c
info,registry,people,CA Lynn,45eda7c8
info,registry,people,CF Parkinson,aa1210d8
info,registry,people,CG Benjamin,95a15317
info,registry,people,DJ Vilas,087210b1
info,registry,people,DJ Willey,7f048519
info,registry,people,DY Pennington,219cc59e
info,registry,people,FH Allen,bf74b130
info,registry,people,Imran Tahir,acee4cc4
info,registry,people,JA Simpson,f05fe9b1
info,registry,people,JA Thompson,1d2f290a
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MD Fisher,8f2dfebf
info,registry,people,Miles Hammond,c88bc84a
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,NA Mallender,3b5dfcd4
info,registry,people,PR Brown,1efd12d1
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,RT Robinson,b143c87d
info,registry,people,S Cummings,d7eea52f
info,registry,people,SJ O'Shaughnessy,4d4fdf4a
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,TB Abell,ba9258a7
info,registry,people,WCF Smeed,4e18e961
ball,1,0.1,Northern Superchargers,CA Lynn,T Kohler-Cadmore,AF Milne,0,0,,,,,,"",""
ball,1,0.2,Northern Superchargers,CA Lynn,T Kohler-Cadmore,AF Milne,1,0,,,,,,"",""
ball,1,0.3,Northern Superchargers,T Kohler-Cadmore,CA Lynn,AF Milne,0,0,,,,,,"",""
ball,1,0.4,Northern Superchargers,T Kohler-Cadmore,CA Lynn,AF Milne,0,0,,,,,,"",""
ball,1,0.5,Northern Superchargers,T Kohler-Cadmore,CA Lynn,AF Milne,0,0,,,,,,"",""
ball,1,1.1,Northern Superchargers,T Kohler-Cadmore,CA Lynn,DY Pennington,0,0,,,,,,"",""
ball,1,1.2,Northern Superchargers,T Kohler-Cadmore,CA Lynn,DY Pennington,6,0,,,,,,"",""
ball,1,1.3,Northern Superchargers,T Kohler-Cadmore,CA Lynn,DY Pennington,4,0,,,,,,"",""
ball,1,1.4,Northern Superchargers,T Kohler-Cadmore,CA Lynn,DY Pennington,0,0,,,,,,"",""
ball,1,1.5,Northern Superchargers,T Kohler-Cadmore,CA Lynn,DY Pennington,6,0,,,,,,"",""
ball,1,2.1,Northern Superchargers,CA Lynn,T Kohler-Cadmore,AF Milne,1,0,,,,,,"",""
ball,1,2.2,Northern Superchargers,T Kohler-Cadmore,CA Lynn,AF Milne,1,0,,,,,,"",""
ball,1,2.3,Northern Superchargers,CA Lynn,T Kohler-Cadmore,AF Milne,2,0,,,,,,"",""
ball,1,2.4,Northern Superchargers,CA Lynn,T Kohler-Cadmore,AF Milne,6,0,,,,,,"",""
ball,1,2.5,Northern Superchargers,CA Lynn,T Kohler-Cadmore,AF Milne,0,2,,2,,,,"",""
ball,1,2.6,Northern Superchargers,CA Lynn,T Kohler-Cadmore,AF Milne,4,0,,,,,,"",""
ball,1,3.1,Northern Superchargers,CA Lynn,T Kohler-Cadmore,DY Pennington,1,0,,,,,,"",""
ball,1,3.2,Northern Superchargers,T Kohler-Cadmore,CA Lynn,DY Pennington,0,0,,,,,,"",""
ball,1,3.3,Northern Superchargers,T Kohler-Cadmore,CA Lynn,DY Pennington,0,0,,,,,,"",""
ball,1,3.4,Northern Superchargers,T Kohler-Cadmore,CA Lynn,DY Pennington,1,0,,,,,,"",""
ball,1,3.5,Northern Superchargers,CA Lynn,T Kohler-Cadmore,DY Pennington,4,0,,,,,,"",""
ball,1,4.1,Northern Superchargers,T Kohler-Cadmore,CA Lynn,PR Brown,6,0,,,,,,"",""
ball,1,4.2,Northern Superchargers,T Kohler-Cadmore,CA Lynn,PR Brown,6,0,,,,,,"",""
ball,1,4.3,Northern Superchargers,T Kohler-Cadmore,CA Lynn,PR Brown,4,0,,,,,,"",""
ball,1,4.4,Northern Superchargers,T Kohler-Cadmore,CA Lynn,PR Brown,6,0,,,,,,"",""
ball,1,4.5,Northern Superchargers,T Kohler-Cadmore,CA Lynn,PR Brown,4,0,,,,,,"",""
ball,1,5.1,Northern Superchargers,T Kohler-Cadmore,CA Lynn,Imran Tahir,1,0,,,,,,"",""
ball,1,5.2,Northern Superchargers,CA Lynn,T Kohler-Cadmore,Imran Tahir,0,0,,,,,,"",""
ball,1,5.3,Northern Superchargers,CA Lynn,T Kohler-Cadmore,Imran Tahir,0,0,,,,,,"",""
ball,1,5.4,Northern Superchargers,CA Lynn,T Kohler-Cadmore,Imran Tahir,1,0,,,,,,"",""
ball,1,5.5,Northern Superchargers,T Kohler-Cadmore,CA Lynn,Imran Tahir,1,0,,,,,,"",""
ball,1,6.1,Northern Superchargers,T Kohler-Cadmore,CA Lynn,BAC Howell,1,0,,,,,,"",""
ball,1,6.2,Northern Superchargers,CA Lynn,T Kohler-Cadmore,BAC Howell,1,0,,,,,,"",""
ball,1,6.3,Northern Superchargers,T Kohler-Cadmore,CA Lynn,BAC Howell,1,0,,,,,,"",""
ball,1,6.4,Northern Superchargers,CA Lynn,T Kohler-Cadmore,BAC Howell,1,0,,,,,,"",""
ball,1,6.5,Northern Superchargers,T Kohler-Cadmore,CA Lynn,BAC Howell,1,0,,,,,,"",""
ball,1,7.1,Northern Superchargers,CA Lynn,T Kohler-Cadmore,DY Pennington,6,0,,,,,,"",""
ball,1,7.2,Northern Superchargers,CA Lynn,T Kohler-Cadmore,DY Pennington,2,0,,,,,,"",""
ball,1,7.3,Northern Superchargers,CA Lynn,T Kohler-Cadmore,DY Pennington,0,0,,,,,,"",""
ball,1,7.4,Northern Superchargers,CA Lynn,T Kohler-Cadmore,DY Pennington,1,0,,,,,,"",""
ball,1,7.5,Northern Superchargers,T Kohler-Cadmore,CA Lynn,DY Pennington,0,0,,,,,,"",""
ball,1,8.1,Northern Superchargers,CA Lynn,T Kohler-Cadmore,Imran Tahir,1,0,,,,,,"",""
ball,1,8.2,Northern Superchargers,T Kohler-Cadmore,CA Lynn,Imran Tahir,1,0,,,,,,"",""
ball,1,8.3,Northern Superchargers,CA Lynn,T Kohler-Cadmore,Imran Tahir,1,0,,,,,,"",""
ball,1,8.4,Northern Superchargers,T Kohler-Cadmore,CA Lynn,Imran Tahir,1,0,,,,,,"",""
ball,1,8.5,Northern Superchargers,CA Lynn,T Kohler-Cadmore,Imran Tahir,0,0,,,,,,"",""
ball,1,9.1,Northern Superchargers,CA Lynn,T Kohler-Cadmore,BAC Howell,0,0,,,,,,"",""
ball,1,9.2,Northern Superchargers,CA Lynn,T Kohler-Cadmore,BAC Howell,0,0,,,,,,"",""
ball,1,9.3,Northern Superchargers,CA Lynn,T Kohler-Cadmore,BAC Howell,1,0,,,,,,"",""
ball,1,9.4,Northern Superchargers,T Kohler-Cadmore,CA Lynn,BAC Howell,0,0,,,,,,"",""
ball,1,9.5,Northern Superchargers,T Kohler-Cadmore,CA Lynn,BAC Howell,1,0,,,,,,"",""
ball,1,10.1,Northern Superchargers,T Kohler-Cadmore,CA Lynn,LS Livingstone,4,0,,,,,,"",""
ball,1,10.2,Northern Superchargers,T Kohler-Cadmore,CA Lynn,LS Livingstone,2,0,,,,,,"",""
ball,1,10.3,Northern Superchargers,T Kohler-Cadmore,CA Lynn,LS Livingstone,1,0,,,,,,"",""
