version,1.7.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Gujarat Titans
info,gender,male
info,season,2022
info,date,2022/05/29
info,event,Indian Premier League
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Rajasthan Royals
info,toss_decision,bat
info,player_of_match,HH Pandya
info,umpire,CB Gaffaney
info,umpire,Nitin Menon
info,reserve_umpire,AK Chaudhary
info,tv_umpire,KN Ananthapadmanabhan
info,match_referee,J Srinath
info,winner,Gujarat Titans
info,winner_wickets,7
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,JC Buttler
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,D Padikkal
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,R Ashwin
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,TA Boult
info,player,Rajasthan Royals,OC McCoy
info,player,Rajasthan Royals,M Prasidh Krishna
info,player,Rajasthan Royals,YS Chahal
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,MS Wade
info,player,Gujarat Titans,HH Pandya
info,player,Gujarat Titans,DA Miller
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,R Sai Kishore
info,player,Gujarat Titans,LH Ferguson
info,player,Gujarat Titans,Yash Dayal
info,player,Gujarat Titans,Mohammed Shami
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,DA Miller,d67d5f00
info,registry,people,HH Pandya,dbe50b21
info,registry,people,J Srinath,bad31fac
info,registry,people,JC Buttler,99b75528
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,M Prasidh Krishna,85e0cf10
info,registry,people,MS Wade,afa7e784
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,OC McCoy,529eb9e0
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Parag,04a418e8
info,registry,people,R Sai Kishore,c7a995d3
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Shubman Gill,b4b99816
info,registry,people,TA Boult,a818c1be
info,registry,people,WP Saha,fe11caa6
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,YS Chahal,57ee1fde
info,registry,people,Yash Dayal,7210d461
ball,1,0.1,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.2,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mohammed Shami,0,1,,,,1,,"",""
ball,1,0.3,Rajasthan Royals,JC Buttler,YBK Jaiswal,Mohammed Shami,1,0,,,,,,"",""
ball,1,0.4,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.5,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.6,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mohammed Shami,0,0,,,,,,"",""
ball,1,1.1,Rajasthan Royals,JC Buttler,YBK Jaiswal,Yash Dayal,0,0,,,,,,"",""
ball,1,1.2,Rajasthan Royals,JC Buttler,YBK Jaiswal,Yash Dayal,0,0,,,,,,"",""
ball,1,1.3,Rajasthan Royals,JC Buttler,YBK Jaiswal,Yash Dayal,4,0,,,,,,"",""
ball,1,1.4,Rajasthan Royals,JC Buttler,YBK Jaiswal,Yash Dayal,0,0,,,,,,"",""
ball,1,1.5,Rajasthan Royals,JC Buttler,YBK Jaiswal,Yash Dayal,1,0,,,,,,"",""
ball,1,1.6,Rajasthan Royals,YBK Jaiswal,JC Buttler,Yash Dayal,0,0,,,,,,"",""
ball,1,2.1,Rajasthan Royals,JC Buttler,YBK Jaiswal,Mohammed Shami,1,0,,,,,,"",""
ball,1,2.2,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mohammed Shami,0,0,,,,,,"",""
ball,1,2.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mohammed Shami,4,0,,,,,,"",""
ball,1,2.4,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mohammed Shami,0,0,,,,,,"",""
ball,1,2.5,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mohammed Shami,6,0,,,,,,"",""
ball,1,2.6,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mohammed Shami,3,0,,,,,,"",""
ball,1,3.1,Rajasthan Royals,YBK Jaiswal,JC Buttler,Yash Dayal,1,0,,,,,,"",""
ball,1,3.2,Rajasthan Royals,JC Buttler,YBK Jaiswal,Yash Dayal,1,0,,,,,,"",""
ball,1,3.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,Yash Dayal,0,0,,,,,,"",""
ball,1,3.4,Rajasthan Royals,YBK Jaiswal,JC Buttler,Yash Dayal,2,0,,,,,,"",""
